fe gafodd ei freuddwyd ddyrys neithiwr a bu ar ddihun yn hir yn gofidio am alan a shirley a beti ac yn y diwedd am marged	cy
ar newydd draeth y newydd fyd	cy
hi oedd enillydd ail noson canwr y byd caerdydd ac os na chawn ni wefr debyg eto yng nghystadleuaeth eleni fydd neb yn cwyno	cy
be niall macleoid a fear bu chumhachdaiche dhiubh so	gd
chuireadar suas altóir agus dhírighdar ar dtúis ar dhualgaisíbh an chreidimh do chómhlíonadh do réir dlighe mhaoise go mór mór ar na holocauistíbh agus ar na hídhbirtíbh eile do dhéanamh	ga
ro gaireadh ó cerbhaill amhail a dubhramar dfhior gan ainm ar belaibh a shinnsior clann tseain uí cerbhaill	ga
nur chual nighean an rìgh an fhìdeag thug i leum aisde s bhris i n treas earrann de n t sreang a bha ga ceangal	gd
yn seasons cafwyd synau pedwar tymor olaf y mileniwm ar gof a chadw gydar gwrandawyr yn profi gwanwyn haf hydref a gaeaf olaf y ganrif drwy lygaid pum person gwahanol iawn	cy
tuchan o hyd   o ïe ydyw cyfrifon cilhaul genyt ti ydynt syr wyt ti wedi gwneyd y i fyny i ni gael gweled	cy
níor bhain puínn a athair arsa diarmuid	ga
agus budh hór a éidiogh uile gan fhuighioll idir chlogad agas sgíath agas lúireach airna cceamhsugha don liafana agas do chorrmhogall bhúadha	ga
hollands # illustrates the way in which young people themselves challenge aspects of the training programmes some young people refuse to accept that they are deficient in the skills and cultures necessary for many working class jobs	en
sylwifod fy menig in racs yn ol eu harfer ar y creigiau fynghrys	cy
efallai tawr gwirionedd hwn syn gorwedd wrth hanfod llwyddiant eglwys glenwood i sefydlu pont mor effeithiol rhwng pethaur nef a phethau pentwyn	cy
the prosecution claims she turned vicious in a row over # she claimed staudinger owed her and also because he threatened to tell her mother she was a prostitute	en
sid i n deoch c sùgh brìgheil na thirnne bho fheadan na pràise tha spioradail laidir an caileachd s an snuagh	gd
níor fhág sé coileach i maigh cuilinn nó ar an ros nár dhall sé	ga
tha e na theagasg sòluimte gur h ann am measg na h òigridh a thòisich araon an gluasad so agus an gluasad s an fhàsach an uair a bhàsaich na h aithrichean coirbte agus aingealta #	gd
tros y garreg af yn ol	cy
ata é saor do bhri nach eil dia ag iarruidhdadum oirne ach creidsin ann san fhear urrais agus ata è gealtain an creidimh so thoirt dhuinne gu saor mar an ceadna mar so ata ar fireanachadh gu h lomlan o shaor ghràs dhuinne	gd
carabran abb lis móir faelán mac cellaigh abb cille dara agus corbmac mac conaill feirtíghis luscan décc	ga
nan robh a nis obriain air leantainn roimhe is cur ri a nàimhdean le dealas is aon fhìlteachd faodar a thuigsinn ciod na nithean móra a bha e na chomas a dheanamh	gd
ar yr ieithoedd clasurol yr oedd y pwyslais	cy
chuaidh na gamhna chun na mbó aréir agus níl braon ag aon bhoin indiu	ga
uidh air n uidhe thàinig ise cuideachd gu bhi n a cànain albannaich làn agus lùthmhor le beatha ar cinnidh	gd
aelod o deulur cnofilod ywr gwningen yr un fath ar llygoden hynny yw anifail gyda dau ddant blaen uchaf syn arbennig o gryf ar gyfer cnoi	cy
caf fod ryw ddiwrnod a ddaw	cy
creud e an duine gu n àrduicheadh tu e	gd
canodd a chanodd y gloch unwaith yn rhagor ond ni ddaeth llais cyfarwydd emyr iw chlyw	cy
freagra fliuchán díghe	ga
gan godi i llaw a marw	cy
coffin wondered what he had to say	en
cha leig peacaidhean duine dha am feasd dol as o pheanas	gd
neighbours say its an old chap called masterton	en
so eleventh century courts were centres for ceremony business education charlemagne would have sympathized with all of these	en
mae anian oll yn canu nghyd	cy
canys fe all gwraig dlawd ar risiau a darn mawr o sebon gwyrdd ddileu pob meddwl am fyd busnes ym meddwl gwr cyfoethog yn dra effeithiol	cy
ar ndóigh chuirfeadh sé crádh croidhe ar dhuine siubhal thrí chathair na dtreabh agus thrí chathair luimnigh fá láthair	ga
cyhoeddwyd ugeiniau ohonynt yn y papurau newydd dros y blynyddoedd ac mae lle i amau fod ambell stori ddi sail wedi cael ei darlledu hefyd	cy
well ive finished look at it	en
megis yr ymosododd evan evans ar yr esgyb eingl yr ymosododd emrys ar achosion seisnig ei enwad a mynd rhagddo i ddadlau mair iaith gymraeg oedd prif fater politicaidd cymru a chraidd ei bod mai eilbeth oedd pob problem boliticaidd wrth hon	cy
most of the time he doesnt even know what elements he is trying to combine	en
er im su well im not gordon	en
agus ó luighe na talmhan bhí fhios aige nach bhféadfadh sé bheith i bhfois geacht fiche míle den chathair	ga
fuair sé as an sgríbhinn diadha féin freagra ná raibh coinne aige leis agus nár thug aon bhlúire eóluis dó ar cé bhí ag caint leis	ga
ní mhothóchaimíd faid na slighe an fhaid a bheimíd i bhfochair a chéile	ga
air dhaibh na ceathairneich fhaotainn thuirt bràthair fhir ghlinn aladail riu gun robh tighearn òg chlainn raonaill air fògar fagus don àite agus gun robh e air son fasgath agus dìon fhaotainn uapa san nan deònaicheadh iad sin a thoirt dha	gd
ar maidin lá ar na mhárach bhí an cholann imthighthe ón tobar agus ní raibh fhios aca cá raibh sé	ga
adhruighim agus onóruighim thú óm chroidh go hiomlán	ga
an mhuinter ag nach fuil foghlaim ná bíd cúramach ag iarraidh foghlama	ga
herbert asquith yn dod yn brif weinidog wedi gwaeledd campbell bannerman	cy
wedi iddi fod yn trigo gydag ef yn ei gartref am ysbaid cafodd ganddi addaw	cy
shall i get a tea towel or a real towel do you want	en
déinighse baoís agus ainmhianta na beatha so do shea chaint	ga
a fydd ynmygur bersonoliaeth bigog wrt ddechrau mynd ir afael ai waith	cy
lá amháin bhí an bhanphrionnsa óg ag cíoradh a cinn	ga
yr oedd awr gynt yn derfyniad lluosog cymraeg	cy
cho luath s a chuala e an t aoidh a bha stigh ghrad éirich e s chuir e uime thriubhas	gd
uime sin mun deirich mi as an àite anns an robh mi am shuidhe bha mi araon air faighinn seòladh agus comhfhurtachd	gd
seasaidh agus dearcaidh bhfuil mo róghrádh ag tígheacht is mar chnapsneachta í as mar mhilbheacha do róigheadh an ghrian mar chnapsneachta s mar mhilbheacha do róigheadh an ghrian agus a chuid s a charaid is fada mé beó do dhiaigh	ga
tha iad a losgadh olla na àite agus tha iad a faotainn sin moran na s saoire	gd
bernards mar a leanas mu neach òg eile a dh fhuiling missmairearaid lindsay	gd
maer cynulliad yn mynd i fod yn gweithredu yn gymraeg ac yn saesneg wrth reswm	cy
tylwyth teg yn dwad ati hi ir weirglodd i ganu a dawnsio	cy
éirigheann an abha atá idir an dá chondae nó tosuigheann sí a ruith i gcnocaibh chille cúile idir an bogán agus an raithneach mhór	ga
cystadleuwyr eraill james nicholas dafydd owen tom parry jones emrys roberts w	cy
er oh ive forgotten now	en
chaidh mi stigh agus shuidh mi dluth do n uinneig chum sealladh a bhi agam air an duthaich	gd
byddai pob danteithion chwareuyddiaethau a chanu dihafal ond ni fyddair hogyn yn gwneyd i fyny a neb	cy
hence the réim must have consisted of a number of regiments or tríocha céad	ga
drwyr flwyddyn # cynhwysai cylchgronau fel y christian observer ar record erthyglau ymosodol ar y diwinyddion hyn yn rhydychen fel grwp ac fel unigolion	cy
tha sin uile fior ach nach mòr an goireas gum faigh daoine bochd a mach agus dachaidh co saor aig a bheil gnothach as an dùthaich donn	gd
ghlan ian an fhuil as a bhròig eile agus dh fheuch iad orra i agus bha a leith bhreac air a chois eile	gd
bur ddihalog fel erioed	cy
cha robh fios aige ciod a dhianadh e ach smaoinich e gun tugadh e diachainn do atharrachadh fiaraich	gd
youre fifty two helen	en
bhiodh e comasach maith dh fhaoidte aithris air dòigh no dhà eile nam biodh feum air	gd
há an oidhche há	ga
chi sinn nach ruig e leas ùine fhad no saothair mhor a bhi ann chum sìth fhaotainn	gd
bhítheas ghá labhairt an uair sin go breágh ceól mhar cruinn blasta buacach ach pé donus a bhí ar aigne na ndaoine ní raibh an meas ceart acu uirthi	ga
tha e ag earbsadh a mhàin airson maitheanais agus beatha siorruidh ri rèite chriosd eadar mheadhonaireachd chriosd agus eadar ghuidhe chriosd	gd
somebody told me that letterman had had five hundred tennis lessons	en
