Fe gafodd ei freuddwyd ddyrys neithiwr, a bu ar ddihun yn hir yn gofidio am Alan a Shirley a Beti ac, yn y diwedd, am Marged.	cy
Ar newydd draeth y newydd fyd	cy
Hi oedd enillydd ail noson Canwr y Byd Caerdydd, ac os na chawn ni wefr debyg eto yng nghystadleuaeth eleni fydd neb yn cwyno.	cy
Be Niall Macleoid a fear bu chumhachdaiche dhiubh so..	gd
Chuireadar suas altóir agus dhírighdar ar dtúis ar dhualgaisíbh an chreidimh do chómhlíonadh do réir dlighe Mhaoise, go mór mór ar na holocauistíbh agus ar na hídhbirtíbh eile do dhéanamh.	ga
Ro gaireadh Ó Cerbhaill (amhail a dubhramar) dFhior Gan Ainm ar belaibh a shinnsior clann tSeain Uí Cerbhaill.	ga
Nur chual nighean an rìgh an fhìdeag thug i leum aisde, s bhris i n treas earrann de n t-sreang a bha ga ceangal..	gd
Yn Seasons cafwyd synau pedwar tymor olaf y Mileniwm ar gof a chadw, gydar gwrandawyr yn profi gwanwyn, haf, hydref a gaeaf olaf y ganrif drwy lygaid pum person gwahanol iawn.	cy
tuchan o hyd.  O ïe, ydyw cyfrifon Cilhaul genyt ti? Ydynt, syr. Wyt ti wedi gwneyd y i fyny i ni gael gweled	cy
Níor bhain puínn, a Athair, arsa Diarmuid.	ga
Agus budh hór a éidiogh uile gan fhuighioll, idir chlogad agas sgíath agas lúireach, airna cceamhsugha don liafana agas do chorrmhogall bhúadha.	ga
Hollands (1990) illustrates the  way in which young people themselves challenge aspects of the training programmes. Some young people refuse to accept that they are deficient in the skills and cultures necessary for many working-class jobs.	en
Sylwifod fy menig in racs (yn ol eu harfer ar y creigiau!), fynghrys T.	cy
Efallai tawr gwirionedd hwn syn gorwedd wrth hanfod llwyddiant Eglwys Glenwood i sefydlu pont mor effeithiol rhwng pethaur nef a phethau Pentwyn.	cy
The prosecution claims she turned vicious in a row over 1,300 she claimed Staudinger owed her and also because he threatened to tell her mother she was a prostitute.	en
sid i n deoch, &c.Sùgh brìgheil na thirnne,bho fheadan na pràise;Tha spioradail, laidir,An caileachd s an snuagh.O!.	gd
Níor fhág sé coileach i Maigh Cuilinn nó ar an Ros nár dhall sé.	ga
Tha e na theagasg sòluimte gur h-ann am measg na h-òigridh a thòisich araon an gluasad so, agus an gluasad s an fhàsach an uair a bhàsaich na h-aithrichean coirbte agus aingealta.5..	gd
Tros y Garreg af yn ol.	cy
Ata é saor do bhri nach eil Dia ag iarruidhdadum oirne ach creidsin ann san fhear urrais, agus ata è gealtain an creidimh so thoirt dhuinne gu saor mar an ceadna, mar so ata ar fireanachadh gu h lomlan o shaor ghràs dhuinne.C..	gd
Carabran, abb Lis móir, Faelán, mac Cellaigh, abb Cille dara, agus Corbmac, mac Conaill, feirtíghis Luscan, décc.	ga
Nan robh a nis OBriain air leantainn roimhe, is cur ri a nàimhdean le dealas is aon-fhìlteachd faodar a thuigsinn ciod na nithean móra a bha e na chomas a dheanamh..	gd
Ar yr ieithoedd clasurol yr oedd y pwyslais.	cy
Chuaidh na gamhna chun na mbó aréir agus níl braon ag aon bhoin indiu.	ga
Uidh air n-uidhe, thàinig ise cuideachd gu bhi n a cànain Albannaich, làn agus lùthmhor le beatha ar cinnidh..	gd
Aelod o deulur cnofilod ywr gwningen, yr un fath ar llygoden, hynny yw, anifail gyda dau ddant blaen uchaf syn arbennig o gryf ar gyfer cnoi.	cy
Caf fod, ryw ddiwrnod a ddaw,	cy
Creud e an duine, gu n àrduicheadh tu e?.	gd
Canodd a chanodd y gloch unwaith yn rhagor, ond ni ddaeth llais cyfarwydd Emyr iw chlyw.	cy
Freagra — Fliuchán díghe.	ga
Gan godi i llaw a marw.	cy
Coffin wondered what he had to say.	en
Cha leig peacaidhean duine dha am feasd dol as o pheanas..	gd
Neighbours say its an old chap called Masterton.	en
So eleventh-century courts were centres for ceremony, business, education; Charlemagne would have sympathized with all of these.	en
Mae anian oll yn canu nghyd,	cy
Canys fe all gwraig dlawd ar risiau a darn mawr o sebon gwyrdd ddileu pob meddwl am fyd busnes ym meddwl gwr cyfoethog, yn dra effeithiol.	cy
Ar ndóigh, chuirfeadh sé crádh croidhe ar dhuine siubhal thrí Chathair na dTreabh agus thrí Chathair Luimnigh fá láthair!	ga
Cyhoeddwyd ugeiniau ohonynt yn y papurau newydd dros y blynyddoedd, ac mae lle i amau fod ambell stori ddi-sail wedi cael ei darlledu hefyd.	cy
Well Ive finished, look at it!	en
Megis yr ymosododd Evan Evans ar yr Esgyb Eingl yr ymosododd Emrys ar achosion Seisnig ei enwad a mynd rhagddo i ddadlau mair iaith Gymraeg oedd prif fater politicaidd Cymru a chraidd ei bod, mai eilbeth oedd pob problem boliticaidd wrth hon.	cy
Most of the time he doesnt even know what elements he is trying to combine.	en
Er Im su Well, Im not Gordon.	en
Agus ó luighe na talmhan bhí fhios aige nach bhféadfadh sé bheith i bhfois geacht fiche míle den chathair.	ga
Fuair sé, as an sgríbhinn diadha féin, freagra ná raibh coinne aige leis, agus nár thug aon bhlúire eóluis dó ar cé bhí ag caint leis.	ga
Ní mhothóchaimíd faid na slighe an fhaid a bheimíd i bhfochair a chéile.	ga
Air dhaibh na ceathairneich fhaotainn, thuirt bràthair Fhir Ghlinn-Aladail riu, gun robh Tighearn òg Chlainn-Raonaill air fògar fagus don àite, agus gun robh e air son fasgath agus dìon fhaotainn uapa-san, nan deònaicheadh iad sin a thoirt dha..	gd
Ar maidin, lá ar na mhárach, bhí an cholann imthighthe ón tobar agus ní raibh fhios aca cá raibh sé.	ga
Adhruighim agus onóruighim thú óm chroidh go hiomlán.	ga
An mhuinter ag nach fuil foghlaim ná bíd cúramach ag iarraidh foghlama.	ga
Herbert Asquith yn dod yn Brif Weinidog wedi gwaeledd Campbell-Bannerman.	cy
Wedi iddi fod yn trigo gydag ef yn ei gartref am ysbaid, cafodd ganddi addaw	cy
Shall I get a tea towel or a real towel do you want?	en
Déinighse baoís agus ainmhianta na beatha so do shea chaint.	ga
A fydd ynmygur bersonoliaeth bigog wrt ddechrau mynd ir afael ai waith?	cy
Lá amháin bhí an bhanphrionnsa óg ag cíoradh a cinn.	ga
Yr oedd awr gynt yn derfyniad lluosog Cymraeg.	cy
Cho luath s a chuala e an t-aoidh a bha stigh, ghrad-éirich e s chuir e uime thriubhas..	gd
Uime sin mun deirich mi as an àite anns an robh mi am shuidhe bha mi araon air faighinn seòladh agus comhfhurtachd..	gd
Seasaidh agus dearcaidh bhfuil mo róghrádh ag tígheacht, Is mar chnapsneachta í as mar mhilbheacha (do) róigheadh an ghrian, Mar chnapsneachta s mar mhilbheacha (do) róigheadh an ghrian, Agus a chuid s a charaid is fada mé beó do dhiaigh.	ga
Tha iad a losgadh olla na àite, agus tha iad a faotainn sin moran na s saoire..	gd
Bernards, mar a leanas, mu neach òg eile a dh fhuiling, MissMairearaid Lindsay..	gd
Maer Cynulliad yn mynd i fod yn gweithredu yn Gymraeg ac yn Saesneg wrth reswm.	cy
tylwyth teg yn dwad ati hi ir weirglodd i ganu a dawnsio.	cy
Éirigheann an abha atá idir an dá chondae, nó, tosuigheann sí a ruith, i gCnocaibh Chille cúile, idir an Bogán agus an Raithneach Mhór.	ga
Cystadleuwyr eraill: James Nicholas, Dafydd Owen, Tom Parry-Jones, Emrys Roberts, W.	cy
Er  oh Ive forgotten now!	en
Chaidh mi stigh, agus shuidh mi dluth do n uinneig chum sealladh a bhi agam air an duthaich..	gd
byddai pob danteithion, chwareuyddiaethau a chanu dihafal; ond ni fyddair hogyn yn gwneyd i fyny a neb	cy
Hence the réim must have consisted of a number of regiments, or tríocha céad.	ga
Drwyr flwyddyn 1839 cynhwysai cylchgronau fel y Christian Observer ar Record erthyglau ymosodol ar y diwinyddion hyn yn Rhydychen fel grwp ac fel unigolion.	cy
Tha sin uile fior, ach nach mòr an goireas gum faigh daoine bochd a mach agus dachaidh co saor, aig a bheil gnothach as an dùthaich?DONN..	gd
Ghlan ian an fhuil as a bhròig eile, agus dh fheuch iad orra i, agus bha a leith-bhreac air a chois eile..	gd
Bur ddihalog fel erioed;	cy
